,SMILES,title,i_i_glide_lignum,r_i_docking_score
37532,CC[C@@]([NH3+])(CO)N[C@H]1Cc2ncccc2C[N@H+]([C@@H]2[C@]3(C[NH3+])C[C@]23C)C1,enumerated_decorated_cores.csv:15728,37569,-5.65851
1092,CC(=O)C(=O)ON[C@H]1Cc2ncccc2C[N@H+]([C@H]2C[C@H]3C[NH2+][C@H]3C2)C1,enumerated_decorated_cores.csv:454,1094,-5.64356
53458,[NH3+]CCC[NH2+]CN1Cc2cc(F)ccc2C[C@@H]([NH2+]C[C@H]2C[C@H]2C=O)C1,enumerated_decorated_cores.csv:22430,53511,-5.96527
28344,CCN([NH3+])[N@H+]1Cc2cc(F)ccc2C[C@@H](N[C@@](C)(Cl)OC)C1,enumerated_decorated_cores.csv:11875,28371,-5.74214
44539,C[NH2+]C[C@H](C[NH3+])N[C@H]1Cc2ccc(F)cc2CN(OC[C@H]2C[C@@H]2F)C1,enumerated_decorated_cores.csv:18685,44582,-5.65099
54131,C[C@H](O)CN1Cc2cc(F)ccc2C[C@@H]([NH2+]CC[C@H](O)C[NH3+])C1,enumerated_decorated_cores.csv:22709,54184,-5.64305
5085,[NH3+]C[C@H](O)CNN[C@H]1Cc2ccc(F)cc2C[N@H+]([C@H]2C[C@]2(O)C2CC2)C1,enumerated_decorated_cores.csv:2146,5088,-5.60692
5624,[NH3+]C[C@H]1[C@H]2CC[C@]21[N@H+]1Cc2cc(F)ccc2C[C@@H](Nc2cccs2)C1,enumerated_decorated_cores.csv:2366,5628,-5.59623
43774,Cn1ccc(C[NH2+][C@H]2Cc3ccc(F)cc3CN(CC(N)=O)C2)n1,enumerated_decorated_cores.csv:18373,43816,-5.57192
38521,CC[C@@](O)(CC#N)N[C@H]1Cc2ccc(F)cc2CN([C@H]([NH3+])CC[NH3+])C1,enumerated_decorated_cores.csv:16145,38558,-5.54497
46280,N#CCC[C@H](C#N)N1Cc2cc(F)ccc2C[C@@H]([NH2+]CCCC[NH2+]N)C1,enumerated_decorated_cores.csv:19425,46325,-5.49938
31003,[NH3+]Cc1cocc1N[C@H]1Cc2ccc(F)cc2C[N@H+](CNc2cc[nH]n2)C1,enumerated_decorated_cores.csv:12998,31034,-5.42864
31669,NC(=O)C[NH2+][C@H]1Cc2ccccc2CN(Nc2n[nH]cc2N)C1=O,enumerated_decorated_cores.csv:13269,31700,-6.45984
