,SMILES,title,i_i_glide_lignum,r_i_docking_score
21370,CC[P@@H](=O)C[NH2+]CN1CCc2c(F)cc(F)cc2[C@H]1C[NH2+][C@@](C)(O)CB[NH3+],8897_generated_biased,21385,-5.5205
15575,Cc1ccc([O-])c(N2CCc3c(F)cc(F)cc3[C@H]2C[NH2+]Cc2cnc[nH]2)[nH+]1,6473_generated_biased,15586,-5.50684
15587,Cc1cn[nH]c1C[N@@H+]1CCc2c(F)cc(F)cc2[C@H]1CNC(=O)/C=C/C[NH3+],6476_generated_biased,15598,-5.47055
3065,Cc1noc(NC[C@H]2c3cc(F)cc(F)c3CCN2SC[C@H](C)O)[n+]1[O-],1261_generated_biased,3068,-5.41682
21698,C[C@H]([NH3+])CN([NH3+])[N@@H+]1CCc2c(F)cc(F)cc2[C@H]1CN[C@H]1C[C@]1(C)C#N,9035_generated_biased,21713,-5.3394
399,CCC(=O)CCONC[C@H]1c2cc(F)cc(F)c2CC[N@@H+]1C[C@H](O)C[C@H]([NH3+])C[NH3+],158_generated_biased,400,-5.33149
5569,[NH3+]C[C@H]1C[C@H]1[NH2+]C[C@H]1c2ccccc2CCN1c1occ(F)c1C=O,2310_generated_biased,5574,-5.7201
6462,O=C([C@H]1C[NH2+]1)N1CCc2ccccc2[C@H]1C[NH2+]Cn1ncnn1,2682_generated_biased,6467,-5.41106
16550,N#CCN(O)N1CCc2ccccc2[C@H]1C[NH2+][C@H](C[NH3+])CS,6862_generated_biased,16561,-5.38514
6269,C[C@@](N)(C[NH3+])N1CCc2ccccc2[C@H]1C[NH2+]CNc1ccc[nH]1,2603_generated_biased,6274,-5.32436
10836,C[C@H](C[NH2+]C[C@H]1c2ccccc2CCN1CNC(N)=S)ON,4474_generated_biased,10844,-5.27897
21978,O=C(NCCc1c[nH]c[nH+]1)N1CCc2ccccc2[C@H]1CNc1ccccc1O,9151_generated_biased,21993,-5.25328
6195,[NH3+]BCC[NH2+]C[C@H]1c2ccccc2CCN1c1c[n+]([O-])ccc1[N+](=O)[O-],2572_generated_biased,6200,-5.23318
21334,C[C@H]([NH2+]C[C@H]1c2ccccc2CCN1[C@H]1[NH2+]CC[C@H]1C=O)C(N)=O,8883_generated_biased,21349,-5.21748
5757,C[NH2+]COCN1CCc2ccccc2[C@@H]1C/[NH+]=C(/C)C(=O)[O-],2386_generated_biased,5762,-5.21034
21990,C[C@H]([NH3+])[C@H](O)N1CCc2ccccc2[C@H]1CNC(=S)C[NH3+],9155_generated_biased,22005,-5.20107
14751,[NH3+][C@H](Cc1ccccc1)N1Cc2cccnc2C[C@@H]([NH2+][C@@]2(O)C[C@H]2O)C1,6130_generated_biased,14761,-6.70975
22872,CC(=O)[C@H](C#N)C[NH2+][C@H]1Cc2ncccc2CN(c2[nH+]cc3cc[nH]c3c2N)C1,9510_generated_biased,22887,-6.00363
10859,[NH3+]CCC[C@H]([NH3+])N1Cc2cccnc2C[C@@H](NO[C@@H](Cl)CS)C1,4481_generated_biased,10867,-5.84335
6494,O=C1[C@@H](Nc2nnnn2CCO)Cc2ncccc2CN1C[C@H](O)C1CC1,2695_generated_biased,6499,-5.66599
